status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
2,12,4,4,1424.0,1,4,4,3,1,3,2,26,3,2,1,3,2,1,2,1
1,6,4,0,4716.0,5,2,1,3,1,3,1,44,3,2,2,2,1,1,2,1
2,11,3,3,4771.0,1,4,2,3,1,4,2,51,3,2,1,3,2,1,2,1
1,12,2,2,652.0,1,5,4,2,1,4,2,24,3,1,1,3,2,1,2,1
2,9,4,3,1154.0,1,5,2,3,1,4,1,37,3,2,3,2,2,1,2,1
4,15,2,0,3556.0,5,3,3,3,1,2,4,29,3,2,1,3,2,1,2,1
3,42,4,1,4796.0,1,5,4,3,1,4,4,56,3,3,1,3,2,1,2,1
3,30,4,3,3017.0,1,5,4,3,1,4,2,47,3,2,1,3,2,1,2,1
4,36,4,0,3535.0,1,4,4,3,1,4,3,37,3,2,2,3,2,2,2,1
4,36,4,0,6614.0,1,5,4,3,1,4,3,34,3,2,2,4,2,2,2,1
4,24,2,3,1376.0,3,4,4,2,1,1,3,28,3,2,1,3,2,1,2,1
1,15,2,0,1721.0,1,2,2,3,1,3,1,36,3,2,1,3,2,1,2,1
1,6,4,0,860.0,1,5,1,2,1,4,4,39,3,2,2,3,2,2,2,1
4,12,4,0,1495.0,1,5,4,3,1,1,1,38,3,2,2,2,1,1,2,1
4,12,4,3,1934.0,1,5,2,3,1,2,4,26,3,2,2,3,2,1,2,1
4,18,2,1,3378.0,5,3,2,3,1,1,2,31,3,2,1,3,2,2,2,1
4,24,4,1,3868.0,1,5,4,2,1,2,3,41,3,1,2,4,2,2,2,1
4,12,4,5,996.0,5,4,4,2,1,4,1,23,3,2,2,3,2,1,2,1
1,24,2,10,1755.0,1,5,4,2,3,4,1,58,3,2,1,2,2,2,2,1
4,18,4,0,1028.0,1,3,4,2,1,3,1,36,3,2,2,3,2,1,2,1
2,24,4,9,2825.0,5,4,4,3,1,3,4,34,3,2,2,3,1,2,2,1
2,18,2,6,1239.0,5,3,4,3,1,4,4,61,3,3,1,3,2,1,2,1
1,18,2,0,1216.0,1,2,4,2,1,3,3,23,3,1,1,3,2,2,2,0
4,24,2,9,1258.0,1,4,4,3,1,1,1,25,3,2,1,3,2,2,2,1
4,18,4,6,1864.0,2,3,4,2,1,2,1,30,3,2,2,3,2,1,2,0
4,24,2,0,1474.0,2,2,4,4,1,3,1,33,3,2,1,3,2,2,2,1
1,24,4,9,1382.0,2,4,4,3,1,1,1,26,3,2,2,3,2,2,2,1
4,12,2,0,640.0,1,3,4,1,1,2,1,49,3,2,1,2,2,1,2,1
3,36,2,3,3919.0,1,3,2,3,1,2,1,23,3,2,1,3,2,2,2,1
4,9,4,0,1224.0,1,3,3,3,1,1,1,30,3,2,2,3,2,1,2,1
4,12,4,3,2331.0,5,5,1,3,2,4,1,49,3,2,1,3,2,2,2,1
4,24,2,1,6313.0,5,5,3,3,1,4,3,41,3,2,1,4,1,2,2,1
1,12,4,3,385.0,1,4,4,2,1,3,1,58,3,2,4,2,2,2,2,1
4,12,4,3,1655.0,1,5,2,3,1,4,1,63,3,2,2,2,2,2,2,1
1,15,2,3,1053.0,1,2,4,4,1,2,1,27,3,2,1,3,2,1,1,1
4,21,2,3,3160.0,5,5,4,3,1,3,2,41,3,2,1,3,2,2,2,1
4,36,2,0,3079.0,5,3,4,3,1,4,1,36,3,2,1,3,2,1,2,1
4,12,4,0,1163.0,3,3,4,3,1,4,1,44,3,2,1,3,2,2,2,1
4,24,2,1,2679.0,1,2,4,2,1,1,4,29,3,2,1,4,2,2,2,1
4,48,4,3,3578.0,5,5,4,3,1,1,1,47,3,2,1,3,2,2,2,1
4,36,3,0,10875.0,1,5,2,3,1,2,3,45,3,2,2,3,1,2,2,1
1,12,3,0,1344.0,1,3,4,3,1,2,1,43,3,2,2,2,1,1,2,1
4,6,4,3,1237.0,2,3,1,2,1,1,2,27,3,2,2,3,2,1,2,1
4,12,2,3,3077.0,1,3,2,3,1,4,3,52,3,2,1,3,2,2,2,1
4,24,2,3,2284.0,1,4,4,3,1,2,3,28,3,2,1,3,2,2,2,1
2,12,2,3,1567.0,1,3,1,2,1,1,3,22,3,2,1,3,2,2,2,1
4,24,3,0,2032.0,1,5,4,3,1,4,4,60,3,3,2,3,2,2,2,1
2,21,4,2,2745.0,4,4,3,3,1,2,3,32,3,2,2,3,2,2,2,1
4,30,2,3,1867.0,5,5,4,3,1,4,3,58,3,2,1,3,2,2,2,1
4,36,2,3,2299.0,3,5,4,3,1,4,3,39,3,2,1,3,2,1,2,1
4,24,2,2,929.0,5,4,4,3,1,2,3,31,2,2,1,3,2,2,2,1
3,12,2,3,3399.0,5,5,2,3,1,3,3,37,3,2,1,4,2,1,2,1
2,9,2,2,2030.0,5,4,2,3,1,1,3,24,3,2,1,3,2,2,2,1
4,21,4,1,3275.0,1,5,1,3,1,4,3,36,3,2,1,4,2,2,2,1
4,24,4,0,1940.0,4,5,4,3,1,4,1,60,3,2,1,3,2,2,2,1
1,21,4,0,1602.0,1,5,4,4,1,3,3,30,3,2,2,3,2,2,2,1
4,15,2,3,1979.0,5,5,4,3,1,2,3,35,3,2,1,3,2,1,2,1
4,24,4,0,2022.0,1,3,4,2,1,4,3,37,3,2,1,3,2,2,2,1
4,36,4,3,3342.0,5,5,4,3,1,2,3,51,3,2,1,3,2,2,2,1
2,18,2,0,5866.0,2,3,2,3,1,2,3,30,3,2,2,3,2,2,2,1
3,15,4,1,2360.0,3,3,2,3,1,2,3,36,3,2,1,3,2,2,2,1
4,15,4,2,1520.0,5,5,4,3,1,4,2,63,3,2,1,3,2,1,2,1
1,12,2,0,3651.0,4,3,1,3,1,3,2,31,3,2,1,3,1,1,2,1
4,24,4,1,2346.0,1,4,4,3,1,3,3,35,3,2,2,3,2,2,2,1
4,36,3,3,4454.0,1,3,4,2,1,4,1,34,3,2,2,3,2,1,2,1
1,6,4,0,666.0,4,4,3,2,1,4,1,39,3,2,2,2,2,2,2,1
2,24,3,0,1965.0,5,3,4,2,1,4,3,42,3,1,2,3,2,2,2,1
2,12,4,0,1995.0,2,2,4,3,1,1,3,27,3,2,1,3,2,1,2,1
2,30,2,3,2991.0,5,5,2,2,1,4,3,25,3,2,1,3,2,1,2,1
2,30,0,9,4221.0,1,3,2,2,1,1,3,28,3,2,2,3,2,1,2,1
1,9,2,3,1364.0,1,4,3,3,1,4,1,59,3,2,1,3,2,1,2,1
2,18,4,2,6361.0,1,5,2,3,1,1,4,41,3,2,1,3,2,2,2,1
4,27,4,2,4526.0,4,2,4,3,1,2,1,32,2,2,2,2,1,2,2,1
2,12,4,3,3573.0,1,3,1,2,1,1,1,23,3,2,1,2,2,1,2,1
2,36,3,9,4455.0,1,3,2,1,1,2,1,30,2,2,2,4,2,2,2,0
1,9,2,2,2136.0,1,3,3,3,1,2,1,25,3,2,1,3,2,1,2,1
2,42,4,9,5954.0,1,4,2,2,1,1,1,41,1,2,2,2,2,1,2,1
4,24,4,2,3777.0,4,3,4,3,1,4,1,40,3,2,1,3,2,2,2,1
1,15,2,9,806.0,1,3,4,2,1,4,2,22,3,2,1,2,2,1,2,1
2,24,3,9,4712.0,5,3,4,3,1,2,2,34,1,2,2,4,2,2,2,1
2,36,3,0,7432.0,1,3,2,2,1,2,2,54,3,1,1,3,2,1,2,1
4,24,4,3,1851.0,1,4,4,4,3,2,3,33,3,2,2,3,2,2,2,1
4,24,2,0,1393.0,1,3,2,3,3,2,1,31,3,2,1,3,2,2,2,1
4,12,4,9,1412.0,1,3,4,2,3,2,1,29,3,2,2,4,2,2,2,1
4,18,2,3,1473.0,1,2,3,4,1,4,1,39,3,2,1,3,2,2,2,1
4,24,2,3,1533.0,1,2,4,2,1,3,3,38,2,2,1,3,2,2,2,1
4,12,4,6,2012.0,5,4,4,2,1,2,3,61,3,2,1,3,2,1,2,1
1,15,2,0,3959.0,1,3,3,2,1,2,2,29,3,2,1,3,2,2,2,0
1,6,2,2,428.0,1,5,2,2,1,1,2,49,1,2,1,3,2,2,2,1
2,12,4,0,2366.0,3,4,3,1,1,3,3,36,3,2,1,4,2,2,2,1
4,12,2,2,763.0,1,3,4,2,1,1,1,26,3,2,1,3,2,2,2,1
2,21,2,2,3976.0,5,4,2,3,1,3,3,35,3,2,1,3,2,2,2,1
2,18,2,0,6260.0,1,4,3,3,1,3,1,28,3,1,1,2,2,1,2,1
2,9,4,2,1919.0,1,4,4,3,1,3,3,35,3,1,1,3,2,2,2,1
4,24,2,1,2603.0,4,3,2,2,1,4,3,28,3,1,1,3,2,2,2,1
4,9,4,6,936.0,3,5,4,3,1,2,3,52,3,2,2,3,2,2,2,1
4,24,2,2,3062.0,3,5,4,3,1,3,4,32,3,1,1,3,2,2,2,1
2,36,2,3,4795.0,1,2,4,2,1,1,4,30,3,2,1,4,2,2,2,1
4,36,4,1,5842.0,1,5,2,3,1,2,2,35,3,2,2,3,1,2,2,1
2,6,2,3,2063.0,1,2,4,4,1,3,3,30,3,1,1,4,2,2,2,1
4,15,4,3,1459.0,1,3,4,2,1,2,3,43,3,2,1,2,2,1,2,1
4,15,2,3,1213.0,3,5,4,3,1,3,2,47,2,2,1,3,2,2,2,1
4,24,4,3,5103.0,1,2,3,4,1,3,4,47,3,3,3,3,2,2,2,1
4,15,2,4,874.0,5,2,4,2,1,1,1,24,3,2,1,3,2,1,2,1
4,6,2,2,2978.0,3,3,1,3,1,2,3,32,3,2,1,3,2,2,2,1
4,18,2,0,1820.0,1,3,2,4,1,2,2,30,3,2,1,4,2,2,2,1
4,24,4,3,2872.0,2,5,3,3,1,4,1,36,3,2,1,3,1,2,2,1
3,24,2,2,1925.0,1,3,2,3,1,2,1,26,3,2,1,3,2,1,2,1
4,18,2,2,2515.0,1,3,3,3,1,4,1,43,3,2,1,3,2,2,2,1
3,6,2,2,2116.0,1,3,2,3,1,2,1,41,3,2,1,3,2,2,2,1
4,18,2,3,1453.0,1,2,3,2,1,1,1,26,3,2,1,3,2,1,2,1
4,10,2,0,1364.0,1,3,2,2,1,4,3,64,3,2,1,3,2,2,2,1
4,6,2,2,1543.0,4,3,4,1,1,2,1,33,3,2,1,3,2,1,2,1
2,12,2,0,1318.0,4,5,4,3,1,4,1,54,3,2,1,3,2,2,2,1
1,24,1,0,2325.0,2,4,2,3,1,3,3,32,1,2,1,3,2,1,2,1
2,6,4,8,932.0,5,4,1,2,1,3,2,39,3,2,2,2,2,1,2,1
3,24,4,3,3148.0,5,3,3,3,1,2,3,31,3,2,2,3,2,2,2,1
4,36,2,3,3835.0,5,5,2,2,1,4,1,45,3,2,1,2,2,2,2,1
4,9,2,6,3832.0,5,5,1,3,1,4,1,64,3,2,1,2,2,1,2,1
2,24,2,3,5084.0,5,5,2,2,1,4,3,42,3,2,1,3,2,2,2,1
4,9,4,2,2406.0,1,1,2,3,1,3,3,31,3,2,1,4,2,1,2,1
4,36,2,3,2394.0,5,3,4,2,1,4,3,25,3,2,1,3,2,1,2,1
4,21,2,1,2476.0,5,5,4,3,1,4,1,46,3,2,1,4,2,2,2,1
1,24,2,1,2964.0,5,5,4,3,1,4,4,49,1,3,1,3,1,2,2,1
1,12,2,2,1262.0,5,5,2,1,1,4,2,49,3,2,1,2,2,2,2,1
4,12,2,9,1542.0,1,4,2,3,1,4,3,36,3,2,1,3,2,2,2,1
2,24,4,3,1743.0,1,5,4,3,1,2,2,48,3,2,2,2,2,1,2,1
3,12,1,3,409.0,4,3,3,2,1,3,1,42,3,1,2,3,2,1,2,1
4,12,2,3,2171.0,1,2,2,2,1,2,3,29,1,2,1,3,2,1,2,1
4,48,4,1,8858.0,5,4,2,3,1,1,4,35,3,3,2,3,2,2,2,1
2,24,2,0,3512.0,2,4,2,3,1,3,3,38,1,2,2,3,2,2,2,1
2,12,2,3,1158.0,3,3,3,1,1,1,3,26,3,2,1,3,2,2,2,1
4,24,4,3,2684.0,1,3,4,3,1,2,1,35,3,2,2,2,2,1,2,1
1,12,2,3,1498.0,1,3,4,2,1,1,3,23,1,2,1,3,2,1,2,1
4,30,4,3,5954.0,1,4,3,3,2,2,3,38,3,2,1,3,2,1,2,1
2,48,1,9,6416.0,1,5,4,2,1,3,4,59,3,1,1,3,2,1,2,0
2,12,4,2,3617.0,1,5,1,3,1,4,3,28,3,1,3,3,2,2,2,1
4,12,4,3,1291.0,1,3,4,2,1,2,2,35,3,2,2,3,2,1,2,1
3,24,4,9,1275.0,4,3,2,1,1,4,1,36,3,2,2,3,2,2,2,1
4,24,2,2,3972.0,1,4,2,2,1,4,2,25,3,1,1,3,2,2,2,1
4,15,4,2,3343.0,1,3,4,3,1,2,4,28,3,3,1,3,2,2,2,1
3,15,2,6,392.0,1,2,4,2,1,4,2,23,3,1,1,3,2,2,2,1
4,9,4,0,2134.0,1,3,4,3,1,4,3,48,3,2,3,3,2,2,2,1
4,30,4,3,5771.0,1,4,4,2,1,2,3,25,3,2,2,3,2,1,2,1
4,24,4,9,4526.0,1,3,3,3,1,2,1,74,3,2,1,4,2,2,2,1
4,15,4,2,2788.0,1,4,2,2,2,3,3,24,1,2,2,3,2,1,2,1
4,6,4,3,1382.0,1,3,1,2,1,1,3,28,3,2,2,3,2,2,2,1
3,36,2,3,5848.0,1,3,4,3,1,1,3,24,3,2,1,3,2,1,2,1
1,12,2,0,1228.0,1,3,4,2,1,2,1,24,3,2,1,2,2,1,2,0
3,12,2,3,1297.0,1,3,3,4,1,4,1,23,3,1,1,3,2,1,2,1
4,24,2,3,1552.0,1,4,3,3,1,1,3,32,1,2,1,3,1,1,2,1
4,12,2,3,1963.0,1,4,4,3,1,2,3,31,3,1,2,4,1,2,2,1
4,24,2,3,3235.0,3,5,3,1,1,2,3,36,3,2,1,4,2,2,2,1
4,24,4,9,4139.0,2,3,3,3,1,3,2,27,3,2,2,2,2,2,2,1
2,12,4,1,1804.0,2,2,3,3,1,4,2,44,3,2,1,3,2,1,2,1
4,18,2,9,1950.0,1,4,4,3,1,1,3,34,2,2,2,3,2,2,2,1
4,48,3,3,12749.0,3,4,4,3,1,1,3,37,3,2,1,4,2,2,2,1
4,9,2,4,1236.0,1,2,1,2,1,4,1,23,3,1,1,3,2,2,2,1
4,18,4,0,1055.0,1,2,4,2,1,1,2,30,3,2,2,3,2,1,2,1
1,30,0,9,8072.0,5,2,2,3,1,3,3,25,1,2,3,3,2,1,2,1
4,30,4,3,2831.0,1,3,4,2,1,2,3,33,3,2,1,3,2,2,2,1
4,9,2,9,1449.0,1,4,3,2,1,2,3,27,3,2,2,3,2,1,2,1
4,36,2,9,5742.0,2,4,2,3,1,2,3,31,3,2,2,3,2,2,2,1
4,12,2,0,2390.0,5,5,4,3,1,3,3,50,3,2,1,3,2,2,2,1
4,24,2,3,3430.0,3,5,3,3,1,2,3,31,3,2,1,3,1,2,2,1
2,36,2,6,2273.0,1,4,3,3,1,1,3,32,3,2,2,3,1,1,2,1
3,21,2,0,2923.0,2,3,1,2,1,1,3,28,1,2,1,4,2,2,2,1
4,24,2,3,1901.0,2,3,4,3,1,4,3,29,3,1,1,4,2,2,2,1
2,36,2,6,3711.0,5,3,2,4,1,2,3,27,3,2,1,3,2,1,2,1
2,48,2,0,8487.0,5,4,1,2,1,2,3,24,3,2,1,3,2,1,2,1
4,24,2,0,2255.0,5,2,4,3,1,1,2,54,3,2,1,3,2,1,2,1
4,12,2,3,1262.0,1,3,3,3,1,2,3,25,3,2,1,3,2,1,2,1
4,33,4,1,7253.0,1,4,3,3,1,2,3,35,3,2,2,4,2,2,2,1
4,6,4,0,6761.0,1,4,1,3,1,3,4,45,3,2,2,4,1,2,2,1
4,18,4,2,1817.0,1,3,4,2,1,2,4,28,3,2,2,3,2,1,2,1
4,12,2,3,2141.0,2,4,3,3,1,1,4,35,3,2,1,3,2,1,2,1
4,48,1,9,3609.0,1,3,1,2,1,1,1,27,2,2,1,3,2,1,2,1
4,30,2,3,2333.0,3,5,4,3,1,2,3,30,1,2,1,4,2,1,2,1
4,28,1,1,7824.0,5,2,3,3,3,4,1,40,1,1,2,3,1,2,2,1
3,18,1,3,1445.0,5,4,4,3,1,4,3,49,1,2,1,2,2,1,2,1
1,24,2,2,7721.0,5,2,1,2,1,2,2,30,3,2,1,3,2,2,1,1
1,21,2,0,3763.0,5,4,2,3,2,2,1,24,3,2,1,2,2,1,1,1
2,18,2,9,4439.0,1,5,1,3,2,1,1,33,1,2,1,4,2,2,2,1
1,12,2,3,1107.0,1,3,2,3,1,2,1,20,3,1,1,4,1,2,2,1
2,15,2,3,1444.0,5,2,4,3,1,1,2,23,3,2,1,3,2,1,2,1
2,48,1,0,12169.0,5,1,4,3,2,4,4,36,3,3,1,4,2,2,2,1
4,9,2,3,2753.0,2,5,3,3,2,4,3,35,3,2,1,3,2,2,2,1
3,4,2,0,1494.0,5,2,1,3,1,2,1,29,3,2,1,2,1,1,1,1
1,24,1,2,2828.0,3,3,4,3,1,4,1,22,2,2,1,3,2,2,2,1
1,24,1,2,2483.0,3,3,4,3,1,4,1,22,2,2,1,3,2,2,2,1
3,6,4,0,1299.0,1,3,1,3,1,1,1,74,3,2,3,1,1,1,1,1
2,9,2,0,1549.0,5,2,4,3,1,2,1,35,3,2,1,1,2,1,2,1
3,10,2,0,3949.0,1,2,1,3,3,1,2,37,3,2,1,2,1,1,2,1
4,10,2,1,2901.0,5,2,1,2,1,4,1,31,3,1,1,3,2,1,2,1
3,6,2,0,709.0,4,2,2,4,1,2,1,27,3,2,1,1,2,1,1,1
1,47,2,0,10722.0,1,2,1,2,1,1,1,35,3,2,1,2,2,2,2,1
4,10,2,0,1287.0,5,5,4,3,2,2,2,45,3,2,1,2,2,1,1,1
1,18,1,3,1940.0,1,2,3,3,2,4,4,36,1,3,1,4,2,2,2,1
3,30,4,3,3656.0,5,5,4,3,1,4,2,49,2,2,2,2,2,1,2,1
4,24,3,1,4679.0,1,4,3,3,1,3,3,35,3,2,2,2,2,2,2,1
4,27,3,1,8613.0,4,3,2,3,1,2,3,27,3,2,2,3,2,1,2,1
1,18,2,2,2659.0,4,3,4,3,1,2,3,28,3,2,1,3,2,1,2,1
4,24,4,3,1516.0,4,3,4,2,1,1,1,43,3,2,2,2,2,1,2,1
1,18,2,0,4380.0,2,3,3,3,1,4,3,35,3,2,1,2,1,2,2,1
4,14,3,0,802.0,1,3,4,3,1,2,3,27,3,2,2,2,2,1,2,1
4,21,2,9,1572.0,4,5,4,2,1,4,1,36,1,2,1,2,2,1,2,1
2,48,1,9,3566.0,2,4,4,3,1,2,3,30,3,2,1,3,2,1,2,1
4,24,2,3,1278.0,1,5,4,3,1,1,1,36,3,2,1,4,2,2,2,1
4,6,0,3,426.0,1,5,4,4,1,4,3,39,3,2,1,2,2,1,2,1
4,39,2,1,8588.0,2,5,4,3,1,2,3,45,3,2,1,4,2,2,2,1
1,30,2,1,3857.0,1,3,4,1,1,4,2,40,3,2,1,4,2,2,2,1
2,12,2,0,685.0,1,4,2,4,1,3,3,25,1,2,1,2,2,1,2,0
1,24,2,3,1603.0,1,5,4,2,1,4,3,55,3,2,1,3,2,1,2,1
4,21,2,2,2241.0,1,5,4,3,1,2,1,50,3,2,2,3,2,1,2,1
1,24,2,3,2384.0,1,5,4,3,1,4,1,64,1,1,1,2,2,1,2,1
4,4,2,2,601.0,1,2,1,2,1,3,1,23,3,1,1,2,1,1,2,1
4,39,2,1,2569.0,3,3,4,3,1,4,3,24,3,2,1,3,2,1,2,1
4,15,4,3,1316.0,3,3,2,4,1,2,2,47,3,2,2,2,2,1,2,1
4,60,2,0,10366.0,1,5,2,3,1,4,2,42,3,2,1,4,2,2,2,1
4,18,2,9,1568.0,2,3,3,2,1,4,2,24,3,1,1,2,2,1,2,1
4,18,4,3,629.0,3,5,4,3,1,3,2,32,1,2,2,4,2,2,2,1
4,6,1,3,1750.0,3,5,2,3,1,4,2,45,1,2,1,2,1,1,2,1
4,24,2,1,3488.0,2,4,3,2,1,4,3,23,3,2,1,3,2,1,2,1
4,18,4,3,1800.0,1,3,4,3,1,2,3,24,3,2,2,3,2,1,2,1
4,24,3,2,4151.0,2,3,2,3,1,3,2,35,3,2,2,3,2,1,2,1
2,15,2,5,2631.0,2,3,3,2,1,2,1,25,3,2,1,2,2,1,2,1
4,21,2,1,5248.0,5,3,1,3,1,3,3,26,3,2,1,3,2,1,2,1
2,18,3,0,2899.0,5,5,4,3,1,4,3,43,3,2,1,3,1,1,2,1
2,18,3,5,6204.0,1,3,2,3,1,4,1,44,3,2,1,2,1,2,2,1
4,12,2,3,804.0,1,5,4,3,1,4,3,38,3,2,1,3,2,1,2,1
4,36,2,3,3595.0,1,5,4,3,1,2,3,28,3,2,1,3,2,1,2,1
4,36,4,1,5711.0,4,5,4,3,1,2,3,38,3,2,2,4,2,2,2,1
3,15,2,9,2687.0,1,4,2,3,1,4,2,26,3,1,1,3,2,2,2,1
1,15,3,2,3643.0,1,5,1,2,1,4,2,27,3,2,2,2,2,1,2,1
4,10,4,2,2146.0,1,2,1,2,1,3,1,23,3,1,2,3,2,1,2,1
1,10,2,3,2315.0,1,5,3,3,1,4,1,52,3,2,1,2,2,1,2,1
4,5,2,9,3448.0,1,4,1,3,1,4,1,74,3,2,1,2,2,1,2,1
4,15,2,2,2708.0,1,2,2,3,1,3,2,27,1,2,2,2,2,1,2,1
4,11,4,0,1393.0,1,2,4,2,1,4,3,35,3,2,2,4,2,1,2,1
3,10,2,2,1275.0,1,2,4,2,1,2,2,23,3,2,1,3,2,1,2,1
4,9,2,2,1313.0,1,5,1,3,1,4,3,20,3,2,1,3,2,1,2,1
4,12,2,3,1493.0,1,2,4,2,1,3,3,34,3,2,1,3,1,1,2,1
4,22,2,3,2675.0,3,5,3,3,1,4,3,40,3,2,1,3,2,1,2,1
2,9,2,3,2118.0,1,3,2,3,1,2,1,37,3,2,1,2,1,1,2,1
4,36,2,0,909.0,3,5,4,3,1,4,2,36,3,2,1,3,2,1,2,1
4,12,4,2,1258.0,1,2,2,2,1,4,2,22,3,1,2,2,2,1,2,1
4,15,1,3,1569.0,2,5,4,3,1,4,3,34,1,2,1,2,1,1,2,1
4,6,2,1,1236.0,3,3,2,3,1,4,2,50,3,1,1,3,2,1,2,1
4,36,3,2,7678.0,3,4,2,2,1,4,3,40,3,2,2,3,2,2,2,1
4,6,2,5,660.0,3,4,2,4,1,4,1,23,3,1,1,2,2,1,2,1
4,24,2,2,2835.0,3,5,3,3,1,4,2,53,3,2,1,3,2,1,2,1
4,24,2,1,2670.0,1,5,4,3,1,4,3,35,3,2,1,4,2,2,2,1
4,12,1,8,3447.0,3,3,4,2,1,3,1,35,3,2,1,2,1,1,2,1
4,15,2,3,3568.0,1,5,4,2,1,2,3,54,1,1,1,4,2,2,2,1
2,21,4,9,3652.0,1,4,2,3,1,3,2,27,3,2,2,3,2,1,2,1
1,24,2,3,3660.0,1,3,2,2,1,4,3,28,3,2,1,3,2,1,2,1
3,9,2,3,1126.0,2,5,2,1,1,4,1,49,3,2,1,3,2,1,2,1
3,6,3,3,683.0,1,2,2,2,1,1,2,29,1,2,1,3,2,1,2,1
3,12,2,2,2251.0,1,3,1,2,1,2,3,46,3,2,1,2,2,1,2,1
4,12,2,1,4675.0,5,2,1,2,1,4,3,20,3,1,1,3,2,1,2,1
2,21,3,0,2353.0,1,3,1,1,1,4,2,47,3,2,2,3,2,1,2,1
1,21,2,3,3357.0,4,2,4,2,1,2,3,29,1,2,1,3,2,1,2,1
4,6,2,0,672.0,1,1,1,2,1,4,1,54,3,2,1,1,2,2,2,1
1,6,4,3,338.0,3,5,4,3,1,4,3,52,3,2,2,3,2,1,2,1
4,9,2,3,2697.0,1,3,1,3,1,2,1,32,3,2,1,3,1,1,2,1
4,9,2,0,2507.0,3,5,2,3,1,4,4,51,3,3,1,2,2,1,2,1
4,15,3,3,1478.0,1,3,4,4,1,3,1,33,1,2,2,3,2,1,2,1
4,12,4,6,3565.0,5,2,2,3,1,1,2,37,3,2,2,2,1,1,2,1
4,15,2,2,2221.0,3,3,2,2,1,4,3,20,3,1,1,3,2,1,2,1
4,6,4,3,1898.0,5,3,1,3,1,2,1,34,3,2,2,2,1,1,2,1
2,6,3,9,1449.0,2,5,1,1,1,2,3,31,1,2,2,3,1,1,2,1
4,15,3,2,960.0,4,4,3,2,1,2,2,30,3,2,2,3,2,1,2,1
4,36,2,1,8133.0,1,3,1,2,1,2,2,30,1,2,1,3,2,1,2,1
4,9,2,2,2301.0,2,2,2,2,1,4,2,22,3,1,1,3,2,1,2,1
4,6,3,9,1743.0,2,3,1,3,1,2,1,34,3,2,2,2,2,1,2,1
2,12,2,2,983.0,4,2,1,2,1,4,1,19,3,1,1,2,2,1,2,1
4,18,3,3,2320.0,1,1,2,4,1,3,1,34,3,2,2,3,2,1,2,1
1,12,1,8,339.0,1,5,4,4,1,1,3,45,1,2,1,2,2,1,2,1
3,24,2,3,5152.0,1,4,4,3,1,2,3,25,1,2,1,3,2,1,2,1
3,24,2,2,3749.0,1,2,2,2,1,4,3,26,3,2,1,3,2,1,2,1
4,9,4,3,3074.0,5,3,1,3,1,2,1,33,3,2,2,3,1,1,2,1
3,9,2,3,745.0,1,3,3,2,1,2,1,28,3,2,1,2,2,1,2,0
4,24,2,0,1469.0,2,5,4,4,1,4,1,41,3,1,1,2,2,1,2,1
1,6,2,2,1374.0,1,3,1,3,1,2,1,36,1,2,1,2,2,2,2,1
